,PID,Supported
0,1,1
1,2,0
2,3,1
3,4,1
4,5,1
5,6,1
6,7,1
7,8,0
8,9,0
9,10,0
10,11,0
11,12,1
12,13,1
13,14,1
14,15,1
15,16,1
16,17,1
17,18,0
18,19,1
19,20,0
20,21,1
21,22,0
22,23,0
23,24,0
24,25,0
25,26,0
26,27,0
27,28,1
28,29,0
29,30,0
30,31,1
31,32,1
32,33,1
33,34,0
34,35,0
35,36,1
36,37,0
37,38,0
38,39,0
39,40,0
40,41,0
41,42,0
42,43,0
43,44,0
44,45,0
45,46,1
46,47,0
47,48,1
48,49,1
49,50,0
50,51,1
51,52,1
52,53,0
53,54,0
54,55,0
55,56,0
56,57,0
57,58,0
58,59,0
59,60,1
60,61,0
61,62,1
62,63,0
63,64,1
64,65,0
65,66,1
66,67,1
67,68,1
68,69,1
69,70,0
70,71,1
71,72,0
72,73,1
73,74,1
74,75,0
75,76,1
76,77,1
77,78,1
78,79,0
79,80,0
80,81,0
81,82,0
82,83,0
83,84,0
84,85,0
85,86,0
86,87,0
87,88,0
88,89,0
89,90,0
90,91,0
91,92,0
92,93,0
93,94,0
94,95,0
95,96,1
96,97,0
97,98,0
98,99,0
99,100,0
100,101,1
101,102,0
102,103,0
103,104,0
104,105,0
105,106,0
106,107,0
107,108,0
108,109,0
109,110,0
110,111,0
111,112,0
112,113,0
113,114,0
114,115,0
115,116,0
116,117,0
117,118,0
118,119,0
119,120,0
120,121,0
121,122,0
122,123,0
123,124,0
124,125,0
125,126,0
126,127,0
127,128,0
